"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance","Assay","CellTypeDeep","Comparison"
2.68694426577424e-25,2.93808851202153,0.667,0.024,2.06502414601813e-20,"Ugdh-201",2.06502414601813e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.7085661163045e-25,3.14161518721747,0.833,0.063,2.08164140302466e-20,"Ppp1r10-202",2.08164140302466e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.27264565338511e-25,4.28116069780095,0.6,0.014,2.5151590904526e-20,"Hexb-201",2.5151590904526e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.5490103281166e-25,3.32328557762131,0.733,0.039,2.72755639757073e-20,"Flnb-201",2.72755639757073e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
8.58319869807327e-25,3.22316844164626,0.7,0.034,6.59653152741723e-20,"Anxa1-201",6.59653152741723e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.29591935400657e-24,5.3053921705005,0.767,0.063,9.95965860328206e-20,"Spp1-205",9.95965860328206e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.30403094670301e-24,4.43839717639372,0.633,0.024,1.00219994377913e-19,"Pld3-202",1.00219994377913e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.75866280836569e-24,3.21177446769112,0.767,0.048,1.35160271474137e-19,"Pdia4-201",1.35160271474137e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
1.92090280595413e-24,3.07288825870112,0.833,0.068,1.47629064248799e-19,"Ppp1r10-201",1.47629064248799e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.04336049049328e-24,4.62733181339954,0.633,0.024,1.5704042713637e-19,"Clu-201",1.5704042713637e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.18923976372904e-24,3.84691558547445,0.767,0.058,1.68251832801632e-19,"Cdkn1a-201",1.68251832801632e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.37960330838068e-24,5.92781698208175,0.833,0.106,1.82882032662289e-19,"Mdm2-201",1.82882032662289e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.48863571708084e-24,3.76053016490671,0.867,0.087,1.91261609400531e-19,"Timp2-201",1.91261609400531e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.50029868803601e-24,4.06497047901988,0.8,0.068,1.92157955370319e-19,"Golga4-201",1.92157955370319e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
3.08227729386149e-24,4.69803111204614,0.6,0.019,2.36885339142431e-19,"Mga-201",2.36885339142431e-19,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
